2022-08-18 10:43:07,156-1, 005380, 186000.0, 567
2022-08-18 10:45:05,816-1, 005380, 186000.0, 137
2022-08-18 10:49:27,361-0, 005380, 186000.0, 845.0
2022-08-18 10:49:39,444-1, 005380, 186000.0, 106
2022-08-18 10:49:41,674-0, 005930, 60800.0, 1491.0
2022-08-18 10:49:58,074-1, 005930, 60800.0, 1091
2022-08-18 10:50:00,288-0, 409820, 6225.0, 38024.0
2022-08-18 10:50:16,096-1, 005930, 60800.0, 400
2022-08-18 10:50:16,779-1, 409820, 6225.0, 1
2022-08-18 10:50:24,001-1, 005380, 185500.0, 739
2022-08-18 10:51:17,877-0, 003550, 84400.0, 244.0
2022-08-18 10:52:49,916-1, 003550, 84500.0, 244
